rt;java;Hierarquia de Arquivo
java.awt.MultipleGradientPaint;java.awt.RadialGradientPaint;Exentend
java.awt.MultipleGradientPaintContext;java.awt.RadialGradientPaintContext;Exentend
java.awt.geom.Rectangle2D;java.awt.Rectangle;Exentend
java.awt.Shape;java.awt.Rectangle;Implement
java.io.Serializable;java.awt.Rectangle;Implement
java.lang.Object;java.awt.RenderingHints;Exentend
java.util.Map;java.awt.RenderingHints;Implement
java.lang.Cloneable;java.awt.RenderingHints;Implement
java.lang.Object;java.awt.RenderingHints;Exentend
java.util.Map;java.awt.RenderingHints;Implement
java.lang.Cloneable;java.awt.RenderingHints;Implement
java.lang.Object;java.awt.Robot;Exentend
java.lang.Object;java.awt.Robot;Exentend
java.lang.Object;java.awt.Robot;Exentend
java.awt.Component;java.awt.Scrollbar;Exentend
java.awt.Adjustable;java.awt.Scrollbar;Implement
javax.accessibility.Accessible;java.awt.Scrollbar;Implement
java.awt.Component;java.awt.Scrollbar;Exentend
java.awt.Adjustable;java.awt.Scrollbar;Implement
javax.accessibility.Accessible;java.awt.Scrollbar;Implement
java.awt.Container;java.awt.ScrollPane;Exentend
javax.accessibility.Accessible;java.awt.ScrollPane;Implement
java.awt.Container;java.awt.ScrollPane;Exentend
javax.accessibility.Accessible;java.awt.ScrollPane;Implement
java.awt.Container;java.awt.ScrollPane;Exentend
javax.accessibility.Accessible;java.awt.ScrollPane;Implement
java.lang.Object;java.awt.ScrollPaneAdjustable;Exentend
java.awt.Adjustable;java.awt.ScrollPaneAdjustable;Implement
java.io.Serializable;java.awt.ScrollPaneAdjustable;Implement
java.lang.Object;java.awt.ScrollPaneAdjustable;Exentend
java.awt.Adjustable;java.awt.ScrollPaneAdjustable;Implement
java.io.Serializable;java.awt.ScrollPaneAdjustable;Implement
java.lang.Object;java.awt.SecondaryLoop;Exentend
java.awt.AWTEvent;java.awt.SentEvent;Exentend
java.awt.ActiveEvent;java.awt.SentEvent;Implement
java.awt.AWTEvent;java.awt.SequencedEvent;Exentend
java.awt.ActiveEvent;java.awt.SequencedEvent;Implement
java.awt.AWTEvent;java.awt.SequencedEvent;Exentend
java.awt.ActiveEvent;java.awt.SequencedEvent;Implement
java.awt.AWTEvent;java.awt.SequencedEvent;Exentend
java.awt.ActiveEvent;java.awt.SequencedEvent;Implement
java.lang.Object;java.awt.Shape;Exentend
java.lang.Object;java.awt.SplashScreen;Exentend
java.lang.Object;java.awt.SplashScreen;Exentend
java.lang.Object;java.awt.Stroke;Exentend
java.awt.Color;java.awt.SystemColor;Exentend
java.io.Serializable;java.awt.SystemColor;Implement
java.lang.Object;java.awt.SystemTray;Exentend
java.lang.Object;java.awt.SystemTray;Exentend
java.awt.TextComponent;java.awt.TextArea;Exentend
java.awt.TextComponent;java.awt.TextArea;Exentend
java.awt.Component;java.awt.TextComponent;Exentend
javax.accessibility.Accessible;java.awt.TextComponent;Implement
java.awt.Component;java.awt.TextComponent;Exentend
javax.accessibility.Accessible;java.awt.TextComponent;Implement
java.awt.TextComponent;java.awt.TextField;Exentend
java.awt.TextComponent;java.awt.TextField;Exentend
java.lang.Object;java.awt.TexturePaint;Exentend
java.awt.Paint;java.awt.TexturePaint;Implement
